的 de5  "白 bai2, 勺 shao2, 日 ri4, 囗 wei2" 0 "有的 似的 目的 别的" "的 de5 of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
有的 you3de5 (there are) some (who are...); some (exist)
似的 shi4de5 seems as if; rather like
目的 mu4di4 purpose; aim; goal; target; objective
峘 huan2 锾圜寰萑貆鹮镮鬟 "山 shan1, 亘 gen4, 凵 kan3, 旦 dan4, 日 ri4, 囗 wei2" 5779  
耑 duan1 端 "山 shan1, 而 er2, 凵 kan3" 5780  
茼 tong2 同桐鲖砼瞳峂童曈 "同 tong2, 十 shi2, 口 kou3" 5781  "茼 tong2 chrysanthemum coronarium"
峛 lie4 猎列冽裂鬣烈脟洌 "山 shan1, 列 lie4, 凵 kan3, 歹 dai3, 夕 xi1" 5782  
辘 lu4 璐辂露鹭碌菉渌箓 "车 che1, 鹿 lu4, 十 shi2, 广 guang3, 比 bi3, 厂 chang3, 匕 bi3" 5783 轱辘 "辘 lu4 windlass
轱辘 gu1lu4 wheel; to roll"
𪨰 qu1 趋岖诎祛㭕躯屈坥 "山 shan1, 曲 qu1, 凵 kan3, 曰 yue1, 囗 wei2" 5784  
峗 wei2 帷琟沩桅洈围潍维 "山 shan1, 危 wei1, 凵 kan3, 厂 chang3" 5785  
茯 fu2 莩拂苻绂祓罘菔洑 "伏 fu2, 十 shi2, 犬 quan3, 大 da4, 人 ren2" 5786  
漉 lu4 赂鹿辘绿勠逯辂簏 "鹿 lu4, 广 guang3, 比 bi3, 厂 chang3, 匕 bi3" 5787  "漉 lu4 strain liquids"
峧 jiao1 焦椒鲛郊艽胶燋姣 "山 shan1, 交 jiao1, 凵 kan3, 父 fu4, 八 ba1, 乂 yi4" 5788  
荏 ren3 稔忍 "任 ren4, 十 shi2, 壬 ren2, 士 shi4" 5789  "荏 ren3 beefsteak plant (perilla frutescens); soft; weak"
帡 ping2 萍洴荓蚲泙苹坪瓶 "巾 jin1, 并 bing4, 开 kai1, 廾 gong3, 十 shi2" 5790  "帡 ping2 to cover; screen; awning"
钘 xing2 形行邢陉铏硎饧𫰛 "开 kai1, 二 er4, 廾 gong3, 十 shi2" 5791  "钘 xing2 long-necked wine flask"
荇 xing4 幸婞悻杏姓性 "行 xing2, 十 shi2, 彳 chi4, 丁 ding1" 5792  "荇 xing4 yellow floating heart (nymphoides peltatum)"
𫓧 fu1 跗麸砆呋敷夫孵玞 "夫 fu1, 二 er4, 人 ren2" 5793  "𫓧 fu1 (literary) fodder chopper; (chemistry) flerovium"
茭 jiao1 燋胶姣礁鲛蕉蛟娇 "交 jiao1, 十 shi2, 父 fu4, 八 ba1, 乂 yi4" 5794  "茭 jiao1 zizania aquatica"
𬬮 chang3 厂敞惝昶氅场 "长 zhang3, 二 er4" 5795  "𬬮 chang3 sharp; a keen edge; sharp point"
幔 man4 曼墁缦谩蔓漫镘𬜬 "巾 jin1, 曼 man4, 曰 yue1, 罒 wang3, 又 you4, 囗 wei2" 5796  "幔 man4 curtain"
𬬱 jin1 金珒巾津襟衿筋矜 "斤 jin1, 二 er4" 5797  
𬬭 lun2 囵仑轮伦沦 "仑 lun2, 二 er4, 人 ren2, 匕 bi3" 5798  "𬬭 lun2 (metal); roentgenium (chemistry)"
荥 xing2 形铏邢𫰛硎饧型刑 "水 shui3, 十 shi2" 5799  "荥 xing2 place name"
懑 men4 焖呇闷 "满 man3, 心 xin1, 两 liang3, 十 shi2, 从 cong2, 人 ren2" 5800 愤懑 "懑 men4 melancholy
愤懑 fen4men4 depressed; resentful; discontented; indignant; perturbed"
瘌 la4 蝲腊蜡𬶟辣剌镴 "疒 ne4, 剌 la2, 广 guang3, 厂 chang3, 束 shu4, 木 mu4, 口 kou3, 十 shi2" 5801  "瘌 la4 scabies; scald-head"
钪 kang4 伉闶炕抗亢 "亢 kang4, 二 er4, 几 ji3" 5802  "钪 kang4 scandium (chemistry)"
荦 luo4 络漯骆雒洛珞摞落 "牛 niu2, 十 shi2" 5803  "荦 luo4 brindled ox; clear; eminent"
钬 huo3 漷夥伙火 "火 huo3, 二 er4, 人 ren2" 5804  "钬 huo3 holmium (chemistry)"
蹉 cuo1 瑳撮搓磋 "差 cha4, 口 kou3, 止 zhi3" 5805 蹉跎 "蹉 cuo1 to error; to slip; to miss; to err
蹉跎 cuo1tuo2 (literary) to slip; (of looks etc) to fade away; (of time) to slip away; to squander (time, opportunities); to dillydally"
荨 qian2 钳虔前掮墘乾靬黔 "寻 xun2, 十 shi2, 寸 cun4" 5806  
钭 dou3 陡抖蚪 "斗 dou4, 二 er4" 5807  
矧 shen3 谂审瞫沈哂婶 "矢 shi3, 引 yin3, 大 da4, 人 ren2, 弓 gong1" 5808  "矧 shen3 (interrog.)"
荩 jin4 近晋赆尽觐浕殣祲 "尽 jin3, 十 shi2, 尺 chi3, 尸 shi1" 5809  "荩 jin4 arthraxon ciliare; loyal"
酽 yan4 堰觃艳餍唁彦滟宴 "严 yan2, 西 xi1, 儿 er2, 囗 wei2, 厂 chang3" 5810  "酽 yan4 strong (of tea)"
俫 lai2 莱来梾铼崃徕涞 "来 lai2, 未 wei4, 木 mu4, 十 shi2" 5811  
荬 mai3 买 "买 mai3, 十 shi2, 头 tou2, 大 da4, 人 ren2" 5812  
俜 ping1 涄乒娉 "甹 ping1, 由 you2, 日 ri4, 囗 wei2" 5813  "俜 ping1 to send; to let go"
荮 zhou4 宙昼㑇绉皱胄㤘纣 "纣 zhou4, 十 shi2, 寸 cun4" 5814  "荮 zhou4 classifier for a bundle (of bowls, dishes etc) tied with straw"
俙 xi1 曦惜觿悉烯窸溪汐 "希 xi1, 布 bu4, 巾 jin1" 5815  
俍 liang2 椋𫟅粮梁墚良凉粱 "良 liang2, 艮 gen3" 5816  "俍 liang2 (literary) to be good at; to be expert in; (literary) skilled craftsman"
燎 liao2 潦僚獠簝缭疗寮寥 "火 huo3, 人 ren2, 小 xiao3, 八 ba1" 5817 燎原 "燎 liao2 to burn; to set afire
燎原 liao2yuan2 to start a prairie fire"
垕 hou4 厚鲎候郈后鲘逅堠 "后 hou4, 土 tu3, 口 kou3, 十 shi2" 5818  "垕 hou4 thick"
衎 kan4 瞰墈看崁阚磡 "行 xing2, 干 gan4, 彳 chi4, 丁 ding1, 十 shi2" 5819  "衎 kan4 pleased"
舣 yi3 蚁钇苡佁以已踦旖 "舟 zhou1, 义 yi4, 乂 yi4" 5820  "舣 yi3 to moor a boat to the bank"
弇 yan3 偃郾眼渰衍琰蝘兖 "合 he2, 廾 gong3, 口 kou3, 人 ren2, 十 shi2" 5821  "弇 yan3 to cover; trap"
侴 chou3 瞅丑杻 "丑 chou3, 人 ren2, 十 shi2" 5822  
鸧 cang1 舱伧仓沧苍 "仓 cang1, 鸟 niao3, 人 ren2, 乌 wu1, 马 ma3" 5823  "鸧 cang1 oriole"
䏡 shi4 逝谥媞襫誓筮拭世 "示 shi4, 二 er4, 小 xiao3, 八 ba1" 5824  
胠 qu1 趋诎坥驱蛐麹𪨰岖 "月 yue4, 去 qu4, 土 tu3, 十 shi2" 5825  "胠 qu1 flank of animal; side; to pry open; to steal"
𦙶 gu3 谷古贾鹄股瞽牯嘏 "古 gu3, 十 shi2, 口 kou3" 5826  
胈 ba2 跋拔妭菝魃 "月 yue4, 友 you3, 又 you4" 5827  
胩 ka3 卡 "月 yue4, 卡 ka3, 上 shang4, 卜 bu3" 5828  "胩 ka3 carbylamine; isocyanide"
胣 chi3 豉耻侈尺齿褫 "月 yue4, 也 ye3, 乜 mie1" 5829  
朏 fei3 榧棐斐篚翡诽匪悱 "月 yue4, 出 chu1, 屮 che4, 凵 kan3" 5830  "朏 fei3 (literary) (of the crescent moon) to begin to shine"
瞑 ming2 暝明冥名溟鸣茗螟 "目 mu4, 冥 ming2, 囗 wei2, 日 ri4, 六 liu4, 八 ba1" 5831 瞑目 "瞑 ming2 to close (the eyes)
瞑目 ming2mu4 to close one's eyes; (fig.) to be contented at the time of one's death (dying without closing one's eyes would signify having unresolved grievances.)"
飐 zhan3 展崭盏辗搌斩 "风 feng1, 占 zhan4, 口 kou3" 5832  "飐 zhan3 to sway in the wind"
訄 qiu2 俅巯𨱇犰球虬鼽赇 "九 jiu3, 言 yan2, 口 kou3" 5833  "訄 qiu2 (literary) to coerce sb; to compel sb"
撺 cuan1 汆蹿镩 "窜 cuan4, 穴 xue2, 串 chuan4, 八 ba1, 吕 lü3, 口 kou3" 5834  "撺 cuan1 rush; stir up; throw; fling; hurry; rage"
饻 xi1 奚豨嶲傒牺浠谿粞 "衣 yi1" 5835  
庤 zhi4 郅铚滞峙稚觯滍致 "广 guang3, 寺 si4, 厂 chang3, 土 tu3, 寸 cun4, 十 shi2" 5836  "庤 zhi4 to prepare"
餮 tie4  "殄 tian3, 食 shi2, 歹 dai3, 夕 xi1, 人 ren2, 良 liang2, 艮 gen3" 5837 饕餮 "餮 tie4 gluttonous
饕餮 tao1tie4 ferocious mythological animal, the fifth son of the dragon king; zoomorphic mask motif, found on shang and zhou ritual bronzes; gluttonous; sumptuous (banquet)"
疢 chen4 榇龀衬谶趁 "疒 ne4, 火 huo3, 广 guang3, 厂 chang3, 人 ren2" 5838  "疢 chen4 (disease)"
炣 ke3 可岢渴 "火 huo3, 可 ke3, 人 ren2, 丁 ding1, 口 kou3" 5839  "炣 ke3 (literary) fire; flame"
炟 da2 笪答鿎妲靼怛鞑荙 "火 huo3, 旦 dan4, 人 ren2, 日 ri4, 囗 wei2" 5840  "炟 da2 to catch fire"
㶲 yong4 用 "火 huo3, 用 yong4, 人 ren2, 二 er4" 5841  
洭 kuang1 哐匡诓筐 "匡 kuang1, 王 wang2, 土 tu3, 十 shi2" 5842  
洘 kao3 考烤拷栲 "考 kao3, 土 tu3, 十 shi2" 5843  
洓 qi4 汽磜槭汔讫砌泣憩 "朿 ci4, 木 mu4, 十 shi2" 5844  
洿 wu1 圬诬污巫呜钨乌屋 "夸 kua1, 大 da4, 亏 kui1, 人 ren2" 5845  "洿 wu1 dig (a pond); stagnant water"
㳚 xu4 垿絮洫序昫旭煦湑 "戍 shu4, 戊 wu4, 戈 ge1, 弋 yi4" 5846  
泚 ci3 此𫚖玼 "此 ci3, 止 zhi3, 匕 bi3" 5847  "泚 ci3 clear; bright and brilliant"
浈 zhen1 斟砧榛珍桢贞臻真 "贞 zhen1, 贝 bei4, 人 ren2" 5848  "浈 zhen1 river in guangdong province"
浉 shi1 𫚕尸狮鲺湿酾䴓鸤 "师 shi1, 巾 jin1" 5849  
洸 guang1 珖垙𨐈咣光胱桄 "光 guang1, 兀 wu4, 儿 er2" 5850  "洸 guang1 sparkling water"
洑 fu2 蝠黻祓绋桴涪辐俘 "伏 fu2, 犬 quan3, 大 da4, 人 ren2" 5851  "洑 fu2 undercurrent eddy"
洢 yi1 猗噫揖繄铱伊依黟 "伊 yi1, 尹 yin3" 5852  
洈 wei2 帷琟潍围帏违为桅 "危 wei1, 厂 chang3" 5853  
洚 jiang4 将糨犟酱绛匠降弶 "十 shi2" 5854  "洚 jiang4 flood"
洺 ming2 名瞑暝明溟茗铭螟 "名 ming2, 夕 xi1, 口 kou3" 5855  "洺 ming2 name of a river"
暝 ming2 螟洺铭明名溟鸣冥 "日 ri4, 冥 ming2, 囗 wei2, 六 liu4, 八 ba1" 5856  "暝 ming2 dark"
洨 xiao2 淆崤 "交 jiao1, 父 fu4, 八 ba1, 乂 yi4" 5857  "洨 xiao2 xiao river in hebei province"
浐 chan3 啴冁产𬊤铲阐蒇谄 "产 chan3, 厂 chang3" 5858  "浐 chan3 name of a river in shaanxi province"
㳘 chong1 艟翀摏珫充茺憧冲 "充 chong1, 儿 er2" 5859  "㳘 chong1 (literary) (of a mountain stream) to flow down"
洴 ping2 蚲帡坪瓶平泙萍玶 "并 bing4, 开 kai1, 廾 gong3, 十 shi2" 5860  "洴 ping2 wash; bleach (fabric)"
洣 mi3 米靡脒芈弭敉 "米 mi3, 木 mu4, 十 shi2" 5861  
藐 miao3 邈缈杪秒眇淼渺 "貌 mao4, 十 shi2, 豸 zhi4, 白 bai2, 儿 er2, 日 ri4, 囗 wei2" 5862 藐视 "藐 miao3 to despise; small
藐视 miao3shi4 to despise; to look down on"
恔 jiao3 角湫缴绞敫剿搅璬 "交 jiao1, 卜 bu3, 父 fu4, 八 ba1, 乂 yi4" 5863  
窀 zhun1 肫衠谆 "穴 xue2, 屯 tun2, 八 ba1, 凵 kan3" 5864  "窀 zhun1 to bury"
扂 dian4 甸淀癜玷殿阽钿垫 "占 zhan4, 口 kou3" 5865  "扂 dian4 door latch"
蟒 mang3 漭莽 "虫 chong2, 莽 mang3, 中 zhong1, 口 kou3, 犬 quan3, 廾 gong3, 十 shi2, 大 da4, 人 ren2" 5866 蟒蛇 "蟒 mang3 python
蟒蛇 mang3she2 python; boa"
祐 you4 侑宥诱囿柚幼鼬右 "右 you4, 卜 bu3, 口 kou3" 5867  "祐 you4 (of divinity) to bless; to protect"
叚 xia2 狎硖霞狭遐瑕侠峡 "又 you4" 5868  
娀 song1 松淞嵩菘崧忪凇 "女 nü3, 戎 rong2, 戈 ge1, 弋 yi4" 5869  
姞 ji2 汲戢亟蒺岌㴔佶级 "女 nü3, 吉 ji2, 士 shi4, 口 kou3, 十 shi2" 5870  
姱 kua1 夸 "女 nü3, 夸 kua1, 大 da4, 亏 kui1, 人 ren2" 5871  "姱 kua1 fascinating; pretty"
姤 gou4 购媾觏遘构够诟彀 "女 nü3, 后 hou4, 口 kou3" 5872  "姤 gou4 copulate; good"
姶 e4 锷苊谔垩厄萼颚𫫇 "女 nü3, 合 he2, 口 kou3, 人 ren2" 5873  "姶 e4 wonderful; beautiful"
擀 gan3 敢秆感橄赶鳡澉 "十 shi2, 早 zao3, 日 ri4, 囗 wei2, 干 gan4" 5874  "擀 gan3 to roll (dough etc)"
姽 gui3 匦宄轨晷簋鬼诡癸 "女 nü3, 危 wei1, 厂 chang3" 5875  "姽 gui3 quiet and nice"
枲 xi3 铣𬶮蓰憙喜洗𬭳徙 "台 tai2, 木 mu4, 口 kou3, 十 shi2" 5876  "枲 xi3 male nettle-hemp"
绖 die2 堞迭喋瓞楪牒谍耋 "至 zhi4, 土 tu3, 十 shi2" 5877  "绖 die2 hempen band worn on the head or waist by a mourner"
骃 yin1 愔𬤇洇歅茵氤喑铟 "马 ma3, 因 yin1, 囗 wei2, 大 da4, 人 ren2" 5878  "骃 yin1 iron-gray (horse)"
𬘡 yin1 骃禋𬤇铟洇𬮱阴殷 "因 yin1, 囗 wei2, 大 da4, 人 ren2" 5879  "𬘡 yin1 generative force; magic emanation"
𬳽 shen1 侁深身甡娠申砷伸 "马 ma3, 先 xian1, 儿 er2" 5880  "𬳽 shen1 large crowd"
𬘩 ting1 桯汀厅听烃 "廷 ting2, 土 tu3, 十 shi2" 5881  
彖 tuan4   5882  
骉 biao1 镳膘飑幖骠瀌标熛 "马 ma3" 5883  "骉 biao1 a horde of horses"
玼 ci3 𫚖泚此 "此 ci3, 十 shi2, 止 zhi3, 匕 bi3" 5884  "玼 ci3 clear (as in a gem)"
臆 yi4 弋潩缢癔奕轶廙蜴 "月 yue4, 意 yi4, 音 yin1, 心 xin1, 立 li4, 日 ri4, 囗 wei2" 5885 臆想 "臆 yi4 (bound form) chest; breast; inner feelings; subjective
臆想 yi4xiang3 subjective idea"
槠 zhu1 茱铢诛潴株蛛橥朱 "木 mu4, 诸 zhu1, 十 shi2, 者 zhe3, 日 ri4, 土 tu3, 囗 wei2" 5886  "槠 zhu1 quercus glanca"
菏 he2 纥和合盍翮荷禾盉 "河 he2, 十 shi2, 可 ke3, 丁 ding1, 口 kou3" 5887 菏泽 "菏 he2 he river in shandong
菏泽 he2ze2 heze prefecture-level city in shandong"
葺 qi4 弃泣洓契汽碛器槭 "咠 qi4, 十 shi2, 口 kou3, 耳 er3" 5888 修葺 "葺 qi4 to repair
修葺 xiu1qi4 to repair; to renovate"
潼 tong2 茼哃彤𦒍铜童酮仝 "童 tong2, 立 li4, 里 li3, 田 tian2, 土 tu3, 囗 wei2, 十 shi2" 5889  "潼 tong2 high; name of a pass"
槎 cha2 查茬猹嵖𥻗垞檫搽 "木 mu4, 差 cha4, 十 shi2" 5890  "槎 cha2 a raft made of bamboo or wood; to fell trees; to hew"
萸 yu2 妤褕渝竽窬愚髃余 "臾 yu2, 十 shi2, 臼 jiu4, 人 ren2" 5891  "萸 yu2 cornelian cherry"
葩 pa1 啪舥趴 "十 shi2, 白 bai2, 巴 ba1, 日 ri4, 囗 wei2" 5892 奇葩 "葩 pa1 corolla of flower
奇葩 qi2pa1 exotic flower; (fig.) marvel; prodigy; (slang) weirdo; outlandish"
颚 e4 苊恶谔扼呃饿垩姶 "咢 e4, 页 ye4, 亏 kui1, 口 kou3, 贝 bei4, 人 ren2" 5893 下颚 "颚 e4 jaw; palate
下颚 xia4e4 mandible (lower jaw)"
霭 ai3 嗳蔼矮欸毐 "谒 ye4, 曷 he2, 曰 yue1, 囗 wei2" 5894 雾霭 "霭 ai3 mist; haze; cloudy sky
雾霭 wu4ai3 mist"
菖 chang1 娼猖伥昌阊鲳 "昌 chang1, 十 shi2, 日 ri4, 曰 yue1, 囗 wei2" 5895  "菖蒲 chang1pu2 acorus calamus; sweet sedge or sweet flag"
馔 zhuan4 篆撰瑑啭僎赚 "巽 xun4, 共 gong4, 八 ba1, 卄 nian4, 十 shi2" 5896  "馔 zhuan4 food; delicacies"
鳗 man2 鬘蛮馒瞒鞔 "鱼 yu2, 曼 man4, 田 tian2, 囗 wei2, 十 shi2, 曰 yue1, 罒 wang3, 又 you4" 5897 鳗鱼 "鳗 man2 eel; anguilla lostoniensis
鳗鱼 man2yu2 eel"
遽 ju4 秬讵距聚具剧钜句 "辶 chuo4, 豦 qu2, 虍 hu1, 豕 shi3, 七 qi1" 5898  "遽 ju4 hurry; fast; suddenly"
鞑 da2 鿎荙笪答瘩达怛沓 "革 ge2, 达 da2, 辶 chuo4, 大 da4, 人 ren2" 5899 鞑靼 "鞑 da2 tartar; a tribe in china
鞑靼 da2da2 tatar (turkic ethnic group in central asia)"
襁 qiang3 羟抢 "强 qiang2, 弓 gong1, 虽 sui1, 口 kou3, 虫 chong2, 中 zhong1" 5900 襁褓 "襁 qiang3 string of copper coins; cloth for carrying baby on back
襁褓 qiang3bao3 swaddling clothes; fig. early stage of development; infancy"
濠 hao2 毫蚝豪貉嗥嚎壕 "豪 hao2, 口 kou3, 豕 shi3" 5901  "濠 hao2 trench"
鲲 kun1 昆醌裈婫堃髡琨鹍 "鱼 yu2, 昆 kun1, 田 tian2, 囗 wei2, 十 shi2, 日 ri4, 比 bi3, 匕 bi3" 5902  "鲲 kun1 fry (newly hatched fish)"
芰 ji4 霁忌髻寄𪟝继𬶭暨 "支 zhi1, 十 shi2, 又 you4" 5903  "芰 ji4 trapa natans; water caltrop"
芣 fu2 拂榑浮菔袱蜉符宓 "不 bu4, 十 shi2" 5904  "芣 fu2 plantain herb (plantago)"
苊 e4 锷谔扼堨𫫇萼呃轭 "厄 e4, 十 shi2, 厂 chang3" 5905  "苊 e4 acenaphthene (c12h10)"
苉 pi3 仳癖嚭圮痞匹 "匹 pi3, 十 shi2, 儿 er2" 5906  "苉 pi3 picene (c22h14)"
芘 bi3 吡彼妣秕舭鄙比匕 "比 bi3, 十 shi2, 匕 bi3" 5907  
芴 wu4 务误悟婺坞戊鹜杌 "勿 wu4, 十 shi2" 5908  "芴 wu4 fluorene c13h10"
芠 wen2 𫘜蚊闻文玟炆雯阌 "文 wen2, 十 shi2, 乂 yi4" 5909  
芤 kou1 𫸩眍抠 "孔 kong3, 十 shi2, 子 zi5, 了 le5" 5910  "芤 kou1 hollow; scallion stalk"
蟾 chan2 馋婵禅潺镵谗廛瀍 "虫 chong2, 詹 zhan1, 中 zhong1, 口 kou3, 八 ba1, 言 yan2, 厂 chang3" 5911 蟾蜍 "蟾 chan2 (mythology) the three-legged toad said to exist in the moon; (metonym) the moon
蟾蜍 chan2chu2 toad"
擞 sou3 薮叟瞍嗾 "数 shu4, 娄 lou2, 米 mi3, 女 nü3, 木 mu4, 十 shi2, 乂 yi4" 5912 抖擞 "擞 sou3 shake; trembling
抖擞 dou3sou3 to rouse; to invigorate; to enliven; to put sb into high spirits; con brio"
獭 ta3 塔鳎 "赖 lai4, 束 shu4, 负 fu4, 木 mu4, 口 kou3, 十 shi2, 贝 bei4, 人 ren2" 5913  "獭 ta3 otter"
镭 lei2 罍檑礌缧嫘擂雷羸 "雷 lei2, 二 er4, 田 tian2, 囗 wei2, 十 shi2" 5914  "镭 lei2 radium (chemistry)"
琤 cheng1 撑铛偁称赪瞠蛏柽 "争 zheng1, 十 shi2" 5915  "琤 cheng1 tinkling of gems"
蟠 pan2 槃磐磻盘蹒爿 "虫 chong2, 番 fan1, 中 zhong1, 口 kou3, 田 tian2, 米 mi3, 木 mu4, 十 shi2, 囗 wei2" 5916 蟠桃 "蟠 pan2 to coil
蟠桃 pan2tao2 flat peach (aka saturn peach or donut peach)"
菩 pu2 蒱穙蒲匍璞镤濮莆 "咅 pou3, 十 shi2, 立 li4, 口 kou3" 5917  "菩 pu2 bodhisattva"
兢 jing1 猄精泾鼱京鲸惊䴖 "克 ke4, 古 gu3, 儿 er2, 十 shi2, 口 kou3" 5918  "兢 jing1 to be fearful; apprehensive"
嶙 lin2 翷粼啉辚瞵𬭸临遴 "山 shan1, 凵 kan3, 米 mi3, 舛 chuan3, 木 mu4, 十 shi2, 夕 xi1" 5919 嶙峋 "嶙 lin2 ranges of hills
嶙峋 lin2xun2 bony (of people); craggy; rugged (of terrain); upright (of people)"
箫 xiao1 哓蟏骁萧嚣鸮逍魈 "肃 su4" 5920  
谭 tan2 昙潭檀郯痰惔磹坛 "覃 tan2, 早 zao3, 口 kou3, 日 ri4, 十 shi2, 囗 wei2" 5921  
糌 zan1 簪 "米 mi3, 木 mu4, 十 shi2, 处 chu4, 日 ri4, 卜 bu3, 囗 wei2" 5922 糌粑 "糌 zan1 zanba, tibetan barley bread
糌粑 zan1ba1 tsamba, tibetan barley bread"
橹 lu3 掳镥卤鲁虏澛 "木 mu4, 鲁 lu3, 十 shi2, 鱼 yu2, 日 ri4, 田 tian2, 囗 wei2" 5923  "橹 lu3 scull (single oar worked from side to side over the stern of a boat) (free word)"
蓿 xu5  "宿 su4, 十 shi2, 佰 bai3, 百 bai3, 白 bai2, 日 ri4, 囗 wei2" 5924  "苜蓿 mu4xu5 lucerne; alfalfa"
觐 jin4 殣浸琎禁噤赆墐晋 "堇 jin3, 见 jian4, 廿 nian4, 口 kou3, 卄 nian4, 十 shi2, 土 tu3, 儿 er2" 5925 朝觐 "觐 jin4 (history) to have an audience with the emperor
朝觐 chao2jin4 to give audience (of emperor); retainers' duty to pay respect to sovereign; hajj (islam)"
罹 li2 梨厘骊鹂漓喱璃黎 "罒 wang3, 惟 wei2, 囗 wei2, 隹 zhui1, 卜 bu3, 土 tu3, 十 shi2" 5926 "罹患 罹难" "罹 li2 happen to; sorrow; suffer from
罹患 li2huan4 to suffer (from an illness); to fall ill
罹难 li2nan4 to die in an accident or disaster; to be killed"
噔 deng1 灯璒蹬登 "口 kou3, 登 deng1, 豆 dou4" 5927  "噔 deng1 thump"
璺 wen4 问汶 "同 tong2, 玉 yu4, 口 kou3, 土 tu3, 十 shi2" 5928  "璺 wen4 a crack (in porcelain, glassware etc)"
盥 guan4 掼祼罐爟鹳贯惯涫 "水 shui3, 皿 min3" 5929 盥洗 "盥 guan4 to wash (especially hands)
盥洗 guan4xi3 to wash up; to freshen up"
懋 mao4 帽芼茂楙貌贸耄瑁 "楙 mao4, 心 xin1, 林 lin2, 矛 mao2, 木 mu4, 十 shi2, 予 yu2" 5930  "懋 mao4 to be hardworking; luxuriant; splendid"
镆 mo4 瘼陌寞秣茉末默殁 "莫 mo4, 二 er4, 十 shi2, 日 ri4, 大 da4, 囗 wei2, 人 ren2" 5931  "镆 mo4 (chemistry) moscovium"
篾 mie4 灭蔑 "罒 wang3, 戍 shu4, 囗 wei2, 戊 wu4, 戈 ge1, 弋 yi4" 5932  "篾 mie4 bamboo splints for baskets"
缱 qian3 谴肷浅遣 "遣 qian3, 辶 chuo4, 中 zhong1, 口 kou3" 5933 缱绻 "缱 qian3 attached to; loving
缱绻 qian3quan3 in love and inseparable"
遴 lin2 林𬴊𬭸翷辚临霖啉 "辶 chuo4, 米 mi3, 舛 chuan3, 木 mu4, 十 shi2, 夕 xi1" 5934 遴选 "遴 lin2 (literary) to select
遴选 lin2xuan3 to pick; to choose; to select"
薜 bi4 弼珌馝滗庇壁庳币 "辟 bi4, 十 shi2, 辛 xin1, 尸 shi1, 口 kou3, 立 li4" 5935  "薜 bi4 ficus pumila"
擢 zhuo2 濯𬸦浊镯琢酌啄诼 "翟 di2, 羽 yu3, 隹 zhui1, 习 xi2, 土 tu3, 十 shi2" 5936  "擢 zhuo2 to pull out; to select; to promote"
潸 shan1 苫姗芟煽删衫珊杉 "林 lin2, 月 yue4, 木 mu4, 十 shi2" 5937  "潸 shan1 tearfully"
罄 qing4 庆綮碃箐磬 "缶 fou3, 声 sheng1, 殳 shu1, 士 shi4, 十 shi2, 尸 shi1, 又 you4, 凵 kan3" 5938  "罄 qing4 to use up; to exhaust; empty"
膺 ying1 罂璎瑛鹰鹦撄樱英 "月 yue4, 广 guang3, 厂 chang3, 隹 zhui1, 土 tu3, 十 shi2" 5939  "膺 ying1 breast; receive"
埏 shan1 珊山芟姗烻杉删跚 "土 tu3, 延 yan2, 十 shi2" 5940  "埏 shan1 to mix water with clay"
莛 ting2 蜓廷亭停婷渟庭葶 "廷 ting2, 十 shi2, 土 tu3" 5941  "莛 ting2 stalk of grass"
瓒 zan4 暂赞酂錾 "赞 zan4, 十 shi2, 兟 shen1, 贝 bei4, 先 xian1, 儿 er2, 人 ren2" 5942  "瓒 zan4 libation cup"
郚 wu2 铻鼯蜈芜吾珸唔无 "吾 wu2, 五 wu3, 口 kou3" 5943  "郚 wu2 place name"
迺 nai3 乃氖奶艿 "辶 chuo4, 西 xi1, 儿 er2, 囗 wei2" 5944  
篙 gao1 羔睾槔皋膏糕高 "高 gao1, 口 kou3" 5945  "篙 gao1 pole for punting boats"
鬃 zong1 踪宗倧鬷综腙棕 "髟 biao1, 宗 zong1, 三 san1, 二 er4, 示 shi4, 小 xiao3, 八 ba1" 5946  "鬃 zong1 bristles; horse's mane; disheveled hair; horse's mane"
赧 nan3 腩蝻 "赤 chi4, 土 tu3, 小 xiao3, 十 shi2, 八 ba1, 又 you4" 5947  "赧 nan3 blushing with shame"
逵 kui2 葵夔睽揆櫆魁蝰喹 "辶 chuo4, 坴 lu4, 土 tu3, 八 ba1, 十 shi2" 5948  "逵 kui2 crossroads; thoroughfare"
攘 rang3 嚷壤 "襄 xiang1, 口 kou3, 井 jing3, 廾 gong3, 十 shi2" 5949  "攘 rang3 (literary) to push up one's sleeves; (literary) to reject; to resist; (literary) to seize; to steal; (literary) to perturb"
饕 tao1 涛弢焘慆滔韬掏绦 "食 shi2, 号 hao4, 虎 hu3, 口 kou3, 虍 hu1, 儿 er2, 七 qi1, 人 ren2, 良 liang2, 艮 gen3" 5950 饕餮 "饕 tao1 gluttonous
饕餮 tao1tie4 ferocious mythological animal, the fifth son of the dragon king; zoomorphic mask motif, found on shang and zhou ritual bronzes; gluttonous; sumptuous (banquet)"
棻 fen1 纷氛酚翂分吩芬 "芬 fen1, 木 mu4, 分 fen1, 十 shi2, 八 ba1, 刀 dao1" 5951  "棻 fen1 aromatic wood; perfume; fragrance"
秬 ju4 澽惧岠句俱拒踞锯 "禾 he2, 巨 ju4, 木 mu4, 十 shi2" 5952  "秬 ju4 black millet"
